date,keyword,count,curated
2026-07-07,液冷,68,1
2026-07-07,液浸,22,2
2026-07-07,GPU,16,2
2026-07-07,NVIDIA,21,6
2026-07-07,生成AI,8,3
2026-07-07,電力,92,7
2026-07-07,再エネ,4,0
2026-07-07,SMR,0,0
2026-07-07,原子力,4,0
2026-07-07,M&A,0,0
2026-07-07,買収,5,2
2026-07-07,投資,33,3
2026-07-07,新設,0,0
2026-07-07,着工,6,0
2026-07-07,PUE,2,0
2026-07-07,ハイパースケール,3,3
2026-07-07,国産クラウド,0,0
2026-07-07,ガバメントクラウド,0,0
2026-07-07,蓄電,8,1
2026-07-07,PPA,0,0
2026-07-08,液冷,4,0
2026-07-08,液浸,1,0
2026-07-08,GPU,4,2
2026-07-08,NVIDIA,6,2
2026-07-08,生成AI,3,2
2026-07-08,電力,19,1
2026-07-08,再エネ,0,0
2026-07-08,SMR,1,1
2026-07-08,原子力,1,0
2026-07-08,M&A,0,0
2026-07-08,買収,1,1
2026-07-08,投資,6,0
2026-07-08,新設,2,0
2026-07-08,着工,1,0
2026-07-08,PUE,0,0
2026-07-08,ハイパースケール,0,0
2026-07-08,国産クラウド,1,1
2026-07-08,ガバメントクラウド,0,0
2026-07-08,蓄電,0,0
2026-07-08,PPA,0,0
2026-07-11,液冷,10,0
2026-07-11,液浸,2,0
2026-07-11,GPU,2,0
2026-07-11,NVIDIA,5,0
2026-07-11,生成AI,2,1
2026-07-11,電力,24,5
2026-07-11,再エネ,6,1
2026-07-11,SMR,0,0
2026-07-11,原子力,5,0
2026-07-11,M&A,0,0
2026-07-11,買収,3,2
2026-07-11,投資,11,0
2026-07-11,新設,0,0
2026-07-11,着工,2,0
2026-07-11,PUE,1,0
2026-07-11,ハイパースケール,1,1
2026-07-11,国産クラウド,1,1
2026-07-11,ガバメントクラウド,0,0
2026-07-11,蓄電,0,0
2026-07-11,PPA,2,2
